Time (mSec),Stimulus (Code),Right (OD),Left (OS)
2693,None,320,326
2696,None,323,326
2700,None,320,326
2704,None,320,326
2707,None,320,326
2711,None,323,326
2714,None,320,326
2718,None,320,326
2721,None,323,326
2725,None,320,326
2729,None,323,326
2732,None,323,326
2736,None,323,326
2739,None,321,326
2743,None,321,326
2746,None,321,326
2750,None,321,326
2754,None,320,331
2757,None,321,326
2761,None,321,326
2764,None,323,326
2768,None,321,331
2771,None,321,326
2775,None,320,326
2779,None,323,326
2782,None,321,326
2786,None,321,326
2789,None,321,326
2793,None,323,331
2796,None,320,326
2800,None,320,326
2804,None,320,326
2807,None,320,326
2811,None,320,326
2814,None,320,326
2818,None,320,326
2821,None,320,326
2825,None,320,326
2829,None,320,326
2832,None,320,326
2836,None,320,326
2839,None,320,326
2843,None,320,326
2846,None,320,326
2850,None,320,326
2854,None,320,326
2857,None,320,325
2861,None,320,325
2864,None,320,324
2868,None,320,324
2871,None,320,328
2875,None,320,328
2879,None,320,329
2882,None,320,325
2886,None,320,329
2889,None,320,328
2893,None,320,324
2896,None,320,328
2900,None,319,324
2904,None,320,324
2907,None,319,324
2911,None,319,323
2914,None,319,324
2918,None,319,323
2921,None,319,328
2925,None,319,323
2929,None,319,328
2932,None,319,323
2936,None,319,323
2939,None,319,323
2943,None,319,323
2946,None,318,323
2950,None,319,323
2954,None,319,323
2957,None,318,323
2961,None,319,323
2964,None,318,322
2968,None,318,323
2971,None,318,323
2975,None,318,326
2979,None,318,323
2982,None,318,323
2986,None,319,323
2989,None,318,323
2993,None,318,323
2996,None,318,328
3000,None,319,323
3004,None,318,328
3007,None,318,326
3011,None,319,328
3014,None,319,327
3018,None,319,328
3021,None,319,328
3025,None,319,326
3029,None,319,326
3032,None,319,324
3036,None,319,326
3039,None,319,326
3043,None,319,325
3046,None,319,326
3050,None,319,324
3054,None,319,325
3057,None,319,326
3061,None,322,326
3064,None,319,325
3068,None,319,324
3071,None,319,324
3075,None,319,326
3079,None,319,326
3082,None,319,324
3086,None,319,324
3089,None,319,326
3093,None,319,324
3096,None,319,324
3100,None,319,324
3104,None,318,323
3107,None,318,323
3111,None,318,324
3114,None,318,324
3118,None,318,324
3121,None,318,323
3125,None,318,323
3129,None,318,323
3132,None,318,323
3136,None,318,323
3139,None,318,323
3143,None,318,323
3146,None,318,323
3150,None,318,323
3154,None,318,323
3157,None,321,323
3161,None,318,322
3164,None,318,322
3168,None,318,325
3171,None,318,323
3175,None,321,322
3179,None,318,321
3182,None,318,322
3186,None,318,325
3189,None,318,322
3193,None,318,322
3196,None,318,322
3200,None,318,321
3204,None,318,322
3207,None,317,322
3211,None,317,322
3214,None,317,324
3218,None,318,326
3221,None,317,321
3225,None,317,322
3229,None,317,321
3232,None,317,322
3236,None,317,321
3239,None,317,321
3243,None,317,321
3246,None,317,319
3250,None,317,320
3254,None,317,321
3257,None,316,320
3261,None,316,320
3264,None,316,320
3268,None,316,320
3271,None,316,320
3275,None,316,321
3279,None,316,320
3282,None,316,320
3286,None,316,320
3289,None,316,320
3293,None,317,321
3296,None,317,320
3300,None,317,320
3304,None,317,320
3307,None,317,320
3311,None,317,320
3314,None,317,320
3318,None,317,320
3321,None,317,321
3325,None,317,321
3329,None,316,320
3332,None,316,321
3336,None,316,321
3339,None,316,320
3343,None,316,320
3346,None,316,320
3350,None,316,320
3354,None,316,320
3357,None,316,320
3361,None,316,320
3364,None,316,320
3368,None,316,321
3371,None,316,320
3375,None,316,321
3379,None,316,320
3382,None,314,320
3386,None,316,320
3389,None,316,321
3393,None,316,320
3396,None,316,320
3400,None,316,320
3404,None,317,321
3407,None,316,320
3411,None,316,319
3414,None,316,320
3418,None,316,320
3421,None,316,320
3425,None,316,319
3429,None,316,320
3432,None,316,318
3436,None,316,320
3439,None,316,319
3443,None,316,319
3446,None,316,318
3450,None,316,320
3454,None,316,321
3457,None,316,318
3461,None,316,320
3464,None,316,318
3468,None,316,320
3471,None,316,320
3475,None,316,318
3479,None,316,318
3482,None,316,320
3486,None,316,318
3489,None,316,321
3493,None,316,320
3496,None,316,320
3500,None,316,320
3504,None,316,318
3507,None,316,320
3511,None,316,319
3514,None,316,320
3518,None,316,320
3521,None,316,320
3525,None,316,321
3529,None,316,320
3532,None,316,320
3536,None,316,320
3539,None,316,320
3543,None,316,320
3546,None,316,320
3550,None,316,320
3554,None,316,320
3557,None,316,320
3561,None,316,320
3564,None,315,319
3568,None,316,319
3571,None,315,320
3575,None,316,320
3579,None,315,319
3582,None,315,320
3586,None,316,320
3589,None,316,320
3593,None,315,320
3596,None,316,320
3600,None,316,320
3604,None,315,320
3607,None,315,320
3611,None,316,320
3614,None,315,319
3618,None,315,320
3621,None,316,320
3625,None,315,320
3629,None,315,320
3632,None,315,320
3636,None,315,320
3639,None,315,319
3643,None,314,318
3646,None,314,318
3650,None,314,318
3654,None,312,317
3657,None,312,317
3661,None,310,316
3664,None,310,315
3668,None,308,314
3671,None,308,312
3675,None,313,311
3679,None,311,308
3682,None,308,307
3686,None,307,304
3689,None,304,301
3693,None,298,298
3696,None,293,296
3700,None,290,294
3704,None,288,292
3707,None,288,290
3711,None,287,291
3714,None,288,292
3718,None,290,292
3721,None,292,295
3725,None,293,297
3729,None,296,299
3732,None,302,301
3736,None,303,302
3739,None,304,304
3743,None,305,305
3746,None,307,308
3750,None,308,309
3754,None,310,310
3757,None,312,311
3761,None,307,312
3764,None,308,313
3768,None,308,314
3771,None,309,315
3775,None,310,317
3779,None,309,317
3782,None,311,318
3786,None,311,318
3789,None,311,318
3793,None,312,319
3796,None,312,319
3800,None,312,319
3804,None,314,319
3807,None,315,319
3811,None,313,320
3814,None,315,320
3818,None,316,321
3821,None,316,321
3825,None,316,322
3829,None,316,321
3832,None,317,321
3836,None,317,321
3839,None,317,321
3843,None,317,327
3846,None,317,322
3850,None,318,323
3854,None,318,322
3857,None,318,322
3861,None,318,322
3864,None,318,322
3868,None,318,322
3871,None,318,322
3875,None,318,328
3879,None,318,323
3882,None,318,323
3886,None,318,323
3889,None,318,322
3893,None,318,322
3896,None,318,323
3900,None,318,323
3904,None,318,322
3907,None,318,323
3911,None,318,323
3914,None,318,322
3918,None,318,323
3921,None,318,323
3925,None,322,323
3929,None,318,323
3932,None,319,328
3936,None,318,323
3939,None,318,324
3943,None,318,324
3946,None,322,327
3950,None,322,323
3954,None,318,322
3957,None,318,322
3961,None,318,322
3964,None,318,323
3968,None,318,328
3971,None,318,323
3975,None,318,323
3979,None,318,328
3982,None,318,328
3986,None,318,323
3989,None,318,323
3993,None,318,328
3996,None,318,324
4000,None,318,323
4004,None,318,322
4007,None,318,322
4011,None,318,328
4014,None,318,322
4018,None,318,322
4021,None,318,322
4025,None,318,323
4029,None,318,328
4032,None,318,322
4036,None,317,323
4039,None,318,322
4043,None,318,322
4046,None,318,322
4050,None,318,322
4054,None,318,322
4057,None,318,322
4061,None,318,322
4064,None,318,323
4068,None,318,322
4071,None,318,322
4075,None,318,322
4079,None,318,322
4082,None,318,328
4086,None,318,323
4089,None,318,322
4093,None,318,326
4096,None,318,326
4100,None,318,326
4104,None,318,323
4107,None,318,322
4111,None,318,322
4114,None,318,328
4118,None,318,322
4121,None,318,323
4125,None,318,323
4129,None,318,328
4132,None,318,328
4136,None,318,322
4139,None,318,323
4143,None,318,326
4146,None,318,322
4150,None,318,322
4154,None,318,322
4157,None,318,323
4161,None,318,322
4164,None,318,322
4168,None,318,322
4171,None,318,322
4175,None,318,323
4179,None,318,322
4182,None,318,327
4186,None,318,327
4189,None,318,323
4193,None,318,322
4196,None,318,328
4200,None,318,323
4204,None,318,322
4207,None,318,322
4211,None,318,323
4214,None,318,322
4218,None,318,322
4221,None,318,322
4225,None,318,322
4229,None,318,322
4232,None,318,322
4236,None,318,323
4239,None,318,322
4243,None,318,322
4246,None,318,322
4250,None,318,322
4254,None,318,322
4257,None,318,322
4261,None,318,323
4264,None,318,328
4268,None,318,328
4271,None,318,322
4275,None,318,328
4279,None,318,322
4282,None,318,322
4286,None,318,322
4289,None,318,322
4293,None,318,323
4296,None,318,322
4300,None,318,322
4304,None,318,327
4307,None,318,322
4311,None,318,322
4314,None,318,322
4318,None,318,322
4321,None,318,327
4325,None,318,322
4329,None,317,322
4332,None,317,327
4336,None,317,322
4339,None,317,322
4343,None,317,322
4346,None,317,322
4350,None,317,322
4354,None,317,322
4357,None,317,321
4361,None,317,321
4364,None,317,322
4368,None,317,321
4371,None,317,322
4375,None,317,322
4379,None,317,322
4382,None,317,322
4386,None,317,322
4389,None,317,322
4393,None,317,321
4396,None,317,322
4400,None,317,322
4404,None,317,321
4407,None,317,321
4411,None,317,322
4414,None,317,322
4418,None,316,321
4421,None,316,322
4425,None,316,321
4429,None,316,321
4432,None,317,321
4436,None,317,322
4439,None,317,322
4443,None,317,321
4446,None,317,321
4450,None,316,321
4454,None,316,321
4457,None,316,321
4461,None,316,321
4464,None,316,321
4468,None,316,321
4471,None,316,321
4475,None,316,321
4479,None,316,321
4482,None,316,321
4486,None,316,321
4489,None,316,321
4493,None,316,320
4496,None,316,320
4500,None,316,320
4504,None,316,320
4507,None,315,320
4511,None,315,320
4514,None,315,320
4518,None,315,320
4521,None,315,320
4525,None,315,320
4529,None,315,319
4532,None,315,319
4536,None,315,320
4539,None,314,320
4543,None,315,320
4546,None,315,320
4550,None,315,320
4554,None,314,320
4557,None,315,321
4561,None,315,320
4564,None,314,320
4568,None,314,320
4571,None,314,320
4575,None,314,321
4579,None,315,321
4582,None,314,321
4586,None,315,319
4589,None,315,321
4593,None,315,321
4596,None,315,321
4600,None,315,321
4604,None,314,321
4607,None,315,321
4611,None,315,321
4614,None,315,321
4618,None,315,322
4621,None,314,322
4625,None,315,321
4629,None,315,321
4632,None,315,321
4636,None,315,322
4639,None,315,322
4643,None,316,320
4646,None,315,321
